Empresa,Cadastro,Já operou?,Teve possibilidade de operar?,cadastro_periodo
Empresa 1,202208,Sim,Sim,2022-08
Empresa 10,202208,Sim,Sim,2022-08
Empresa 100,202208,Sim,Sim,2022-08
Empresa 1000,202106,Sim,Sim,2021-06
Empresa 10000,202112,Não,Sim,2021-12
Empresa 10002,202105,Não,Sim,2021-05
Empresa 1001,202204,Sim,Sim,2022-04
Empresa 10015,202001,Não,Sim,2020-01
Empresa 10019,202209,Sim,Sim,2022-09
Empresa 1002,202204,Sim,Sim,2022-04
Empresa 10027,201908,Sim,Sim,2019-08
Empresa 1003,202106,Sim,Sim,2021-06
Empresa 10032,202206,Não,Sim,2022-06
Empresa 10033,202103,Sim,Sim,2021-03
Empresa 1004,202206,Sim,Sim,2022-06
Empresa 1005,202207,Sim,Sim,2022-07
Empresa 10050,202210,Sim,Sim,2022-10
Empresa 1006,202207,Sim,Sim,2022-07
Empresa 10061,202009,Não,Sim,2020-09
Empresa 10062,202004,Sim,Sim,2020-04
Empresa 10068,202007,Não,Sim,2020-07
Empresa 10069,202302,Não,Sim,2023-02
Empresa 1007,202105,Sim,Sim,2021-05
Empresa 10078,202104,Não,Sim,2021-04
Empresa 1008,202204,Sim,Sim,2022-04
Empresa 10083,202301,Não,Sim,2023-01
Empresa 1009,202204,Sim,Sim,2022-04
Empresa 101,202207,Sim,Sim,2022-07
Empresa 1010,202202,Sim,Sim,2022-02
Empresa 10103,202012,Sim,Sim,2020-12
Empresa 10107,202212,Não,Sim,2022-12
Empresa 1011,202202,Sim,Sim,2022-02
Empresa 10111,202009,Sim,Sim,2020-09
Empresa 10112,202012,Não,Sim,2020-12
Empresa 10116,202303,Não,Sim,2023-03
Empresa 10119,202001,Sim,Sim,2020-01
Empresa 1012,202202,Sim,Sim,2022-02
Empresa 10127,202303,Não,Sim,2023-03
Empresa 1013,202109,Sim,Sim,2021-09
Empresa 10131,202212,Sim,Sim,2022-12
Empresa 10133,202007,Não,Sim,2020-07
Empresa 10134,202010,Sim,Sim,2020-10
Empresa 10138,202305,Não,Sim,2023-05
Empresa 1014,202301,Sim,Sim,2023-01
Empresa 10143,202012,Não,Sim,2020-12
Empresa 10147,202212,Não,Sim,2022-12
Empresa 10149,201905,Sim,Sim,2019-05
Empresa 1015,202204,Sim,Sim,2022-04
Empresa 10154,202104,Não,Sim,2021-04
Empresa 1016,202204,Sim,Sim,2022-04
Empresa 10160,202202,Sim,Sim,2022-02
Empresa 10165,202210,Não,Sim,2022-10
Empresa 1017,202205,Sim,Sim,2022-05
Empresa 10177,202103,Não,Sim,2021-03
Empresa 1018,202204,Sim,Sim,2022-04
Empresa 10180,202202,Não,Sim,2022-02
Empresa 10186,202004,Não,Sim,2020-04
Empresa 10187,202007,Não,Sim,2020-07
Empresa 10189,202010,Sim,Sim,2020-10
Empresa 1019,202203,Sim,Sim,2022-03
Empresa 10195,202008,Sim,Sim,2020-08
Empresa 10197,202012,Não,Sim,2020-12
Empresa 10199,202012,Não,Sim,2020-12
Empresa 102,202306,Sim,Sim,2023-06
Empresa 1020,202203,Sim,Sim,2022-03
Empresa 10202,202211,Sim,Sim,2022-11
Empresa 10203,202103,Não,Sim,2021-03
Empresa 1021,202203,Sim,Sim,2022-03
Empresa 10218,202106,Não,Sim,2021-06
Empresa 1022,202208,Sim,Sim,2022-08
Empresa 10221,202212,Sim,Sim,2022-12
Empresa 10225,202106,Sim,Sim,2021-06
Empresa 1023,202206,Sim,Sim,2022-06
Empresa 10230,202102,Não,Sim,2021-02
Empresa 1024,202205,Sim,Sim,2022-05
Empresa 10241,202106,Não,Sim,2021-06
Empresa 10244,202305,Não,Sim,2023-05
Empresa 10247,202111,Sim,Sim,2021-11
Empresa 1025,202204,Sim,Sim,2022-04
Empresa 10250,202204,Não,Sim,2022-04
Empresa 10251,202212,Sim,Sim,2022-12
Empresa 10256,202004,Sim,Sim,2020-04
Empresa 1026,202203,Sim,Sim,2022-03
Empresa 1027,202204,Sim,Sim,2022-04
Empresa 1028,202207,Sim,Sim,2022-07
Empresa 10282,202101,Sim,Sim,2021-01
Empresa 10283,202206,Sim,Sim,2022-06
Empresa 10287,202301,Não,Sim,2023-01
Empresa 1029,202212,Sim,Sim,2022-12
Empresa 10294,202205,Não,Sim,2022-05
Empresa 10299,202008,Não,Sim,2020-08
Empresa 103,202210,Sim,Sim,2022-10
Empresa 1030,202107,Sim,Sim,2021-07
Empresa 10305,202002,Não,Sim,2020-02
Empresa 1031,202207,Sim,Sim,2022-07
Empresa 10311,202012,Não,Sim,2020-12
Empresa 10312,202112,Sim,Sim,2021-12
Empresa 1032,202203,Sim,Sim,2022-03
Empresa 1033,202203,Sim,Sim,2022-03
Empresa 10330,202111,Não,Sim,2021-11
Empresa 10335,202201,Sim,Sim,2022-01
Empresa 1034,202308,Não,Não,2023-08
Empresa 10344,201911,Sim,Sim,2019-11
Empresa 10348,202305,Não,Sim,2023-05
Empresa 1035,202311,Não,Não,2023-11
Empresa 10359,202009,Não,Sim,2020-09
Empresa 1036,202206,Sim,Sim,2022-06
Empresa 10369,202007,Não,Sim,2020-07
Empresa 1037,202210,Sim,Sim,2022-10
Empresa 1038,202208,Sim,Sim,2022-08
Empresa 10389,201901,Sim,Sim,2019-01
Empresa 1039,202208,Sim,Sim,2022-08
Empresa 104,202208,Sim,Sim,2022-08
Empresa 1040,202206,Sim,Sim,2022-06
Empresa 10400,202203,Sim,Sim,2022-03
Empresa 1041,202203,Sim,Sim,2022-03
Empresa 1042,202208,Sim,Sim,2022-08
Empresa 10421,202007,Não,Sim,2020-07
Empresa 1043,202206,Sim,Sim,2022-06
Empresa 10430,202301,Não,Sim,2023-01
Empresa 10431,202102,Sim,Sim,2021-02
Empresa 10439,202002,Sim,Sim,2020-02
Empresa 1044,202206,Sim,Sim,2022-06
Empresa 10448,202012,Não,Sim,2020-12
Empresa 1045,202206,Sim,Sim,2022-06
Empresa 10452,202204,Não,Sim,2022-04
Empresa 10459,202010,Sim,Sim,2020-10
Empresa 1046,202206,Sim,Sim,2022-06
Empresa 10465,202104,Não,Sim,2021-04
Empresa 10467,202009,Sim,Sim,2020-09
Empresa 1047,202206,Sim,Sim,2022-06
Empresa 1048,202206,Sim,Sim,2022-06
Empresa 1049,202204,Sim,Sim,2022-04
Empresa 10497,202007,Não,Sim,2020-07
Empresa 105,202306,Sim,Sim,2023-06
Empresa 1050,202206,Sim,Sim,2022-06
Empresa 10508,202203,Sim,Sim,2022-03
Empresa 1051,202204,Não,Não,2022-04
Empresa 10513,202305,Não,Sim,2023-05
Empresa 10517,202107,Sim,Sim,2021-07
Empresa 1052,202211,Sim,Sim,2022-11
Empresa 10524,202209,Não,Sim,2022-09
Empresa 10526,202002,Sim,Sim,2020-02
Empresa 10529,202204,Não,Sim,2022-04
Empresa 1053,202202,Sim,Sim,2022-02
Empresa 10534,202110,Não,Sim,2021-10
Empresa 10538,202203,Sim,Sim,2022-03
Empresa 1054,202204,Sim,Sim,2022-04
Empresa 10542,202302,Não,Sim,2023-02
Empresa 10546,202006,Sim,Sim,2020-06
Empresa 10547,202203,Sim,Sim,2022-03
Empresa 1055,202206,Sim,Sim,2022-06
Empresa 1056,202301,Sim,Sim,2023-01
Empresa 1057,202204,Sim,Sim,2022-04
Empresa 10570,202110,Sim,Sim,2021-10
Empresa 1058,202205,Sim,Sim,2022-05
Empresa 10580,202201,Sim,Sim,2022-01
Empresa 1059,202205,Sim,Sim,2022-05
Empresa 10590,202203,Não,Sim,2022-03
Empresa 10591,202204,Não,Sim,2022-04
Empresa 10595,202207,Sim,Sim,2022-07
Empresa 10596,202110,Não,Sim,2021-10
Empresa 10598,202011,Não,Sim,2020-11
Empresa 10599,202203,Não,Sim,2022-03
Empresa 106,202101,Sim,Sim,2021-01
Empresa 1060,202204,Sim,Sim,2022-04
Empresa 10604,202104,Não,Sim,2021-04
Empresa 10605,202109,Sim,Sim,2021-09
Empresa 10606,202009,Sim,Sim,2020-09
Empresa 1061,202204,Sim,Sim,2022-04
Empresa 10610,202309,Não,Sim,2023-09
Empresa 10615,202006,Não,Sim,2020-06
Empresa 10617,202007,Não,Sim,2020-07
Empresa 1062,202207,Sim,Sim,2022-07
Empresa 10624,202205,Sim,Sim,2022-05
Empresa 1063,202301,Sim,Sim,2023-01
Empresa 10630,202107,Não,Não,2021-07
Empresa 1064,202204,Sim,Sim,2022-04
Empresa 10640,202005,Sim,Sim,2020-05
Empresa 10641,202105,Não,Sim,2021-05
Empresa 1065,202203,Sim,Sim,2022-03
Empresa 10650,202105,Sim,Sim,2021-05
Empresa 10653,202208,Sim,Sim,2022-08
Empresa 1066,202203,Sim,Sim,2022-03
Empresa 10668,202002,Sim,Sim,2020-02
Empresa 10669,202108,Não,Não,2021-08
Empresa 1067,202206,Sim,Sim,2022-06
Empresa 10671,202007,Não,Sim,2020-07
Empresa 10674,202007,Sim,Sim,2020-07
Empresa 1068,202206,Sim,Sim,2022-06
Empresa 10687,202009,Não,Sim,2020-09
Empresa 1069,202204,Sim,Sim,2022-04
Empresa 107,202307,Sim,Sim,2023-07
Empresa 1070,202211,Sim,Sim,2022-11
Empresa 10703,202109,Não,Não,2021-09
Empresa 1071,202207,Sim,Sim,2022-07
Empresa 10712,201912,Não,Sim,2019-12
Empresa 10716,202206,Sim,Sim,2022-06
Empresa 10717,202007,Não,Sim,2020-07
Empresa 1072,202211,Sim,Sim,2022-11
Empresa 1073,202204,Sim,Sim,2022-04
Empresa 1074,202012,Não,Não,2020-12
Empresa 1075,202205,Sim,Sim,2022-05
Empresa 10751,202010,Sim,Sim,2020-10
Empresa 10752,202207,Não,Não,2022-07
Empresa 10756,202211,Não,Não,2022-11
Empresa 10759,202007,Não,Sim,2020-07
Empresa 1076,202204,Sim,Sim,2022-04
Empresa 1077,202208,Sim,Sim,2022-08
Empresa 10771,202012,Sim,Sim,2020-12
Empresa 10772,202207,Sim,Sim,2022-07
Empresa 1078,202203,Sim,Sim,2022-03
Empresa 10784,202103,Não,Sim,2021-03
Empresa 1079,202207,Sim,Sim,2022-07
Empresa 10799,202207,Não,Sim,2022-07
Empresa 108,202310,Sim,Sim,2023-10
Empresa 1080,202203,Sim,Sim,2022-03
Empresa 10801,202112,Não,Sim,2021-12
Empresa 10804,202006,Não,Sim,2020-06
Empresa 10806,202204,Não,Sim,2022-04
Empresa 10808,202004,Não,Sim,2020-04
Empresa 1081,202302,Sim,Sim,2023-02
Empresa 10810,202107,Não,Sim,2021-07
Empresa 10819,202012,Sim,Sim,2020-12
Empresa 1082,202105,Sim,Sim,2021-05
Empresa 10822,202211,Não,Sim,2022-11
Empresa 10829,202101,Não,Sim,2021-01
Empresa 1083,202203,Sim,Sim,2022-03
Empresa 10831,202101,Não,Sim,2021-01
Empresa 10833,202206,Não,Sim,2022-06
Empresa 1084,202301,Sim,Sim,2023-01
Empresa 10844,202004,Sim,Sim,2020-04
Empresa 10848,202208,Não,Sim,2022-08
Empresa 1085,202207,Sim,Sim,2022-07
Empresa 10855,201909,Sim,Sim,2019-09
Empresa 1086,202209,Sim,Sim,2022-09
Empresa 10864,202204,Sim,Sim,2022-04
Empresa 10865,202109,Sim,Sim,2021-09
Empresa 1087,202206,Sim,Sim,2022-06
Empresa 10877,202205,Não,Sim,2022-05
Empresa 1088,202206,Sim,Sim,2022-06
Empresa 1089,202304,Sim,Sim,2023-04
Empresa 10899,202310,Não,Sim,2023-10
Empresa 109,202106,Sim,Sim,2021-06
Empresa 1090,202206,Sim,Sim,2022-06
Empresa 10908,202204,Não,Sim,2022-04
Empresa 1091,202302,Sim,Sim,2023-02
Empresa 1092,202208,Sim,Sim,2022-08
Empresa 10924,202212,Não,Sim,2022-12
Empresa 10925,202012,Sim,Sim,2020-12
Empresa 10926,202308,Não,Sim,2023-08
Empresa 1093,202203,Sim,Sim,2022-03
Empresa 10930,202207,Não,Sim,2022-07
Empresa 1094,202303,Sim,Sim,2023-03
Empresa 10941,202106,Não,Sim,2021-06
Empresa 10949,202209,Sim,Sim,2022-09
Empresa 1095,202203,Sim,Sim,2022-03
Empresa 1096,202204,Sim,Sim,2022-04
Empresa 10960,202303,Não,Sim,2023-03
Empresa 10969,201912,Sim,Sim,2019-12
Empresa 1097,202311,Não,Sim,2023-11
Empresa 10974,202212,Sim,Sim,2022-12
Empresa 1098,202108,Sim,Sim,2021-08
Empresa 10987,202210,Sim,Sim,2022-10
Empresa 1099,202209,Sim,Sim,2022-09
Empresa 11,202208,Sim,Sim,2022-08
Empresa 110,202109,Sim,Sim,2021-09
Empresa 1100,202304,Sim,Sim,2023-04
Empresa 11002,201907,Sim,Sim,2019-07
Empresa 11003,202008,Sim,Sim,2020-08
Empresa 1101,202304,Sim,Sim,2023-04
Empresa 11011,202305,Não,Sim,2023-05
Empresa 1102,202304,Sim,Sim,2023-04
Empresa 11025,202202,Não,Sim,2022-02
Empresa 1103,202204,Sim,Sim,2022-04
Empresa 11033,202010,Sim,Sim,2020-10
Empresa 1104,202205,Sim,Sim,2022-05
Empresa 11043,202103,Não,Sim,2021-03
Empresa 11048,202210,Não,Sim,2022-10
Empresa 11049,202006,Sim,Sim,2020-06
Empresa 1105,202305,Sim,Sim,2023-05
Empresa 11051,202201,Não,Sim,2022-01
Empresa 1106,202208,Sim,Sim,2022-08
Empresa 11061,202101,Sim,Sim,2021-01
Empresa 1107,202304,Sim,Sim,2023-04
Empresa 11077,201912,Sim,Sim,2019-12
Empresa 1108,202205,Sim,Sim,2022-05
Empresa 11080,202208,Não,Sim,2022-08
Empresa 11083,202210,Sim,Sim,2022-10
Empresa 1109,202211,Sim,Sim,2022-11
Empresa 11096,202103,Não,Sim,2021-03
Empresa 111,202208,Sim,Sim,2022-08
Empresa 1110,202304,Sim,Sim,2023-04
Empresa 11100,202002,Não,Sim,2020-02
Empresa 11102,202004,Sim,Sim,2020-04
Empresa 11105,202002,Sim,Sim,2020-02
Empresa 11106,202103,Não,Sim,2021-03
Empresa 1111,202205,Sim,Sim,2022-05
Empresa 1112,202304,Sim,Sim,2023-04
Empresa 11124,202203,Sim,Sim,2022-03
Empresa 1113,202304,Sim,Sim,2023-04
Empresa 11132,202208,Não,Sim,2022-08
Empresa 1114,202203,Sim,Sim,2022-03
Empresa 11142,202101,Sim,Sim,2021-01
Empresa 1115,202301,Não,Não,2023-01
Empresa 1116,202205,Sim,Sim,2022-05
Empresa 1117,202203,Sim,Sim,2022-03
Empresa 1118,202204,Sim,Sim,2022-04
Empresa 1119,202203,Sim,Sim,2022-03
Empresa 112,202106,Sim,Sim,2021-06
Empresa 1120,202305,Sim,Sim,2023-05
Empresa 11205,202007,Sim,Sim,2020-07
Empresa 1121,202306,Não,Sim,2023-06
Empresa 11216,202001,Sim,Sim,2020-01
Empresa 1122,202208,Sim,Sim,2022-08
Empresa 11220,202305,Não,Sim,2023-05
Empresa 11223,202210,Sim,Sim,2022-10
Empresa 1123,202205,Sim,Sim,2022-05
Empresa 11238,202101,Não,Sim,2021-01
Empresa 1124,202307,Não,Não,2023-07
Empresa 11240,202108,Não,Sim,2021-08
Empresa 1125,202307,Sim,Sim,2023-07
Empresa 1126,202307,Sim,Sim,2023-07
Empresa 11268,202011,Sim,Sim,2020-11
Empresa 1127,202210,Sim,Sim,2022-10
Empresa 11274,201907,Sim,Sim,2019-07
Empresa 11278,202012,Não,Sim,2020-12
Empresa 1128,202306,Sim,Sim,2023-06
Empresa 1129,202307,Sim,Sim,2023-07
Empresa 11291,202303,Não,Sim,2023-03
Empresa 11292,202203,Não,Sim,2022-03
Empresa 113,202104,Sim,Sim,2021-04
Empresa 1130,202206,Sim,Sim,2022-06
Empresa 11302,202006,Não,Sim,2020-06
Empresa 11303,202108,Não,Sim,2021-08
Empresa 11304,202101,Não,Sim,2021-01
Empresa 11305,202008,Sim,Sim,2020-08
Empresa 11306,202012,Não,Não,2020-12
Empresa 11309,202103,Não,Sim,2021-03
Empresa 1131,202307,Sim,Sim,2023-07
Empresa 11313,201912,Não,Sim,2019-12
Empresa 1132,202306,Sim,Sim,2023-06
Empresa 11321,202008,Não,Sim,2020-08
Empresa 11325,202008,Não,Sim,2020-08
Empresa 1133,202307,Sim,Sim,2023-07
Empresa 1134,202203,Sim,Sim,2022-03
Empresa 11342,202102,Sim,Sim,2021-02
Empresa 11346,202104,Sim,Sim,2021-04
Empresa 1135,202307,Sim,Sim,2023-07
Empresa 11358,202012,Não,Sim,2020-12
Empresa 1136,202306,Sim,Sim,2023-06
Empresa 11362,202106,Não,Sim,2021-06
Empresa 11367,202007,Não,Sim,2020-07
Empresa 1137,202206,Sim,Sim,2022-06
Empresa 11370,202109,Sim,Sim,2021-09
Empresa 11377,202006,Não,Sim,2020-06
Empresa 11379,202106,Sim,Sim,2021-06
Empresa 1138,202308,Sim,Sim,2023-08
Empresa 11380,202202,Não,Sim,2022-02
Empresa 11387,202105,Não,Sim,2021-05
Empresa 1139,202205,Sim,Sim,2022-05
Empresa 11395,202008,Sim,Sim,2020-08
Empresa 11399,202207,Não,Sim,2022-07
Empresa 114,202104,Sim,Sim,2021-04
Empresa 1140,202307,Sim,Sim,2023-07
Empresa 11402,202305,Não,Não,2023-05
Empresa 11404,202008,Não,Não,2020-08
Empresa 1141,202306,Sim,Sim,2023-06
Empresa 11411,202111,Não,Sim,2021-11
Empresa 1142,202308,Sim,Sim,2023-08
Empresa 11420,202001,Sim,Sim,2020-01
Empresa 11421,201911,Não,Sim,2019-11
Empresa 1143,202103,Sim,Sim,2021-03
Empresa 11430,202007,Não,Sim,2020-07
Empresa 11434,202101,Não,Sim,2021-01
Empresa 1144,202308,Sim,Sim,2023-08
Empresa 1145,202210,Sim,Sim,2022-10
Empresa 11452,202205,Sim,Sim,2022-05
Empresa 11456,202007,Não,Sim,2020-07
Empresa 1146,202308,Sim,Sim,2023-08
Empresa 11466,202010,Não,Sim,2020-10
Empresa 1147,202306,Sim,Sim,2023-06
Empresa 11470,201912,Sim,Sim,2019-12
Empresa 11472,202202,Sim,Sim,2022-02
Empresa 11474,202105,Não,Sim,2021-05
Empresa 1148,202309,Sim,Sim,2023-09
Empresa 11482,202012,Sim,Sim,2020-12
Empresa 11484,202104,Sim,Sim,2021-04
Empresa 1149,202309,Não,Não,2023-09
Empresa 11490,202008,Não,Sim,2020-08
Empresa 11493,202107,Sim,Sim,2021-07
Empresa 115,202105,Sim,Sim,2021-05
Empresa 1150,202308,Sim,Sim,2023-08
Empresa 11502,202007,Não,Sim,2020-07
Empresa 11505,202008,Não,Não,2020-08
Empresa 1151,202310,Sim,Sim,2023-10
Empresa 11512,202005,Não,Sim,2020-05
Empresa 11513,202209,Não,Sim,2022-09
Empresa 1152,202309,Sim,Sim,2023-09
Empresa 11528,202101,Sim,Sim,2021-01
Empresa 1153,202205,Sim,Sim,2022-05
Empresa 11532,202008,Não,Sim,2020-08
Empresa 11534,202205,Não,Sim,2022-05
Empresa 11536,202012,Sim,Sim,2020-12
Empresa 1154,202310,Sim,Sim,2023-10
Empresa 11544,202104,Não,Sim,2021-04
Empresa 11547,201912,Sim,Sim,2019-12
Empresa 1155,202310,Não,Sim,2023-10
Empresa 1157,202310,Sim,Sim,2023-10
Empresa 11575,202305,Não,Sim,2023-05
Empresa 1158,202310,Sim,Sim,2023-10
Empresa 1159,202310,Sim,Sim,2023-10
Empresa 11591,202012,Sim,Sim,2020-12
Empresa 11593,202204,Não,Sim,2022-04
Empresa 116,202301,Sim,Sim,2023-01
Empresa 1160,202311,Não,Não,2023-11
Empresa 11604,201912,Sim,Sim,2019-12
Empresa 11606,202007,Sim,Sim,2020-07
Empresa 11608,202008,Não,Sim,2020-08
Empresa 1161,202110,Sim,Sim,2021-10
Empresa 11611,202011,Não,Sim,2020-11
Empresa 11626,201905,Não,Sim,2019-05
Empresa 1163,202311,Sim,Sim,2023-11
Empresa 11648,202007,Não,Sim,2020-07
Empresa 1166,202304,Sim,Sim,2023-04
Empresa 11660,202002,Sim,Sim,2020-02
Empresa 11662,202102,Não,Sim,2021-02
Empresa 11668,202205,Não,Sim,2022-05
Empresa 1167,202305,Não,Não,2023-05
Empresa 11672,202112,Não,Sim,2021-12
Empresa 1168,202311,Não,Não,2023-11
Empresa 11689,202210,Não,Sim,2022-10
Empresa 1169,202105,Sim,Sim,2021-05
Empresa 117,202104,Sim,Sim,2021-04
Empresa 1170,202105,Sim,Sim,2021-05
Empresa 11704,202207,Não,Não,2022-07
Empresa 1171,202010,Sim,Sim,2020-10
Empresa 11713,202211,Não,Sim,2022-11
Empresa 11715,202212,Não,Sim,2022-12
Empresa 1172,202102,Sim,Sim,2021-02
Empresa 11726,202007,Não,Sim,2020-07
Empresa 1173,202205,Sim,Sim,2022-05
Empresa 1174,202101,Sim,Sim,2021-01
Empresa 11740,202006,Não,Não,2020-06
Empresa 11746,202107,Não,Sim,2021-07
Empresa 1175,202101,Sim,Sim,2021-01
Empresa 1176,202204,Sim,Sim,2022-04
Empresa 1177,202104,Sim,Sim,2021-04
Empresa 11771,202304,Não,Sim,2023-04
Empresa 11772,202311,Não,Sim,2023-11
Empresa 1178,202105,Sim,Sim,2021-05
Empresa 11784,202205,Não,Sim,2022-05
Empresa 1179,202210,Sim,Sim,2022-10
Empresa 11790,202012,Não,Sim,2020-12
Empresa 118,202211,Sim,Sim,2022-11
Empresa 1180,202010,Sim,Sim,2020-10
Empresa 11802,202008,Não,Não,2020-08
Empresa 1181,202304,Sim,Sim,2023-04
Empresa 11811,202206,Sim,Sim,2022-06
Empresa 11812,202301,Não,Sim,2023-01
Empresa 1182,202304,Sim,Sim,2023-04
Empresa 1183,202104,Sim,Sim,2021-04
Empresa 11836,202007,Não,Sim,2020-07
Empresa 11838,202106,Não,Sim,2021-06
Empresa 1184,202305,Sim,Sim,2023-05
Empresa 11845,202208,Não,Sim,2022-08
Empresa 11849,202211,Não,Sim,2022-11
Empresa 1185,202111,Sim,Sim,2021-11
Empresa 11852,202212,Não,Sim,2022-12
Empresa 11854,202204,Sim,Sim,2022-04
Empresa 1186,202105,Sim,Sim,2021-05
Empresa 11860,202008,Não,Sim,2020-08
Empresa 1187,202309,Sim,Sim,2023-09
Empresa 11875,202012,Não,Não,2020-12
Empresa 1188,202308,Sim,Sim,2023-08
Empresa 11882,202209,Sim,Sim,2022-09
Empresa 11888,202207,Não,Sim,2022-07
Empresa 11892,202202,Sim,Sim,2022-02
Empresa 11893,202306,Não,Não,2023-06
Empresa 11895,202001,Sim,Sim,2020-01
Empresa 11897,202012,Não,Sim,2020-12
Empresa 119,202206,Sim,Sim,2022-06
Empresa 1190,202110,Sim,Sim,2021-10
Empresa 11904,202308,Não,Sim,2023-08
Empresa 11905,202110,Sim,Sim,2021-10
Empresa 1191,202211,Sim,Sim,2022-11
Empresa 11912,202310,Não,Sim,2023-10
Empresa 11913,202206,Não,Sim,2022-06
Empresa 11916,202008,Não,Sim,2020-08
Empresa 1192,202204,Sim,Sim,2022-04
Empresa 11927,202103,Não,Não,2021-03
Empresa 1193,202109,Sim,Sim,2021-09
Empresa 11930,201909,Sim,Sim,2019-09
Empresa 1194,202109,Sim,Sim,2021-09
Empresa 1195,202109,Sim,Sim,2021-09
Empresa 1196,202110,Sim,Sim,2021-10
Empresa 11962,202203,Não,Sim,2022-03
Empresa 11963,202308,Não,Não,2023-08
Empresa 11965,202004,Sim,Sim,2020-04
Empresa 11966,202109,Sim,Sim,2021-09
Empresa 1197,202109,Sim,Sim,2021-09
Empresa 11973,202008,Sim,Sim,2020-08
Empresa 1198,202212,Sim,Sim,2022-12
Empresa 11981,202303,Não,Não,2023-03
Empresa 11982,202310,Não,Não,2023-10
Empresa 1199,202109,Sim,Sim,2021-09
Empresa 12,202301,Sim,Sim,2023-01
Empresa 120,202106,Sim,Sim,2021-06
Empresa 1200,202210,Sim,Sim,2022-10
Empresa 12008,202105,Sim,Sim,2021-05
Empresa 1201,202110,Sim,Sim,2021-10
Empresa 1202,202108,Sim,Sim,2021-08
Empresa 12023,202205,Sim,Sim,2022-05
Empresa 12024,202311,Não,Sim,2023-11
Empresa 12026,202006,Não,Sim,2020-06
Empresa 12027,202002,Sim,Sim,2020-02
Empresa 12029,202002,Sim,Sim,2020-02
Empresa 1203,202206,Sim,Sim,2022-06
Empresa 1204,202111,Sim,Sim,2021-11
Empresa 12043,202201,Não,Não,2022-01
Empresa 12048,202201,Não,Sim,2022-01
Empresa 1205,202202,Sim,Sim,2022-02
Empresa 12058,202105,Não,Sim,2021-05
Empresa 1206,202202,Sim,Sim,2022-02
Empresa 12065,202002,Sim,Sim,2020-02
Empresa 12068,202102,Não,Sim,2021-02
Empresa 1207,202308,Não,Não,2023-08
Empresa 12077,202305,Não,Sim,2023-05
Empresa 12079,202209,Não,Sim,2022-09
Empresa 1208,202202,Sim,Sim,2022-02
Empresa 1209,202301,Sim,Sim,2023-01
Empresa 12095,202009,Não,Sim,2020-09
Empresa 121,202106,Sim,Sim,2021-06
Empresa 1210,202202,Sim,Sim,2022-02
Empresa 1211,202112,Sim,Sim,2021-12
Empresa 12110,202212,Não,Sim,2022-12
Empresa 12113,202210,Sim,Sim,2022-10
Empresa 12119,202112,Não,Sim,2021-12
Empresa 1212,202212,Sim,Sim,2022-12
Empresa 12122,202205,Não,Sim,2022-05
Empresa 12123,202008,Não,Sim,2020-08
Empresa 12126,202006,Não,Sim,2020-06
Empresa 12127,202105,Não,Sim,2021-05
Empresa 1213,202008,Sim,Sim,2020-08
Empresa 12130,202303,Não,Sim,2023-03
Empresa 12131,202104,Sim,Sim,2021-04
Empresa 12132,202002,Sim,Sim,2020-02
Empresa 12133,202301,Não,Sim,2023-01
Empresa 1214,202106,Sim,Sim,2021-06
Empresa 12144,202301,Não,Sim,2023-01
Empresa 1215,202012,Sim,Sim,2020-12
Empresa 1216,202105,Sim,Sim,2021-05
Empresa 1217,202201,Sim,Sim,2022-01
Empresa 12172,202103,Não,Sim,2021-03
Empresa 12176,202203,Sim,Sim,2022-03
Empresa 1218,202105,Sim,Sim,2021-05
Empresa 12184,202002,Sim,Sim,2020-02
Empresa 1219,202101,Sim,Sim,2021-01
Empresa 12190,202012,Não,Não,2020-12
Empresa 12196,202101,Não,Sim,2021-01
Empresa 12197,202108,Sim,Sim,2021-08
Empresa 122,202210,Sim,Sim,2022-10
Empresa 1220,202207,Sim,Sim,2022-07
Empresa 12202,202109,Sim,Sim,2021-09
Empresa 1221,202301,Sim,Sim,2023-01
Empresa 1222,202302,Sim,Sim,2023-02
Empresa 12220,202007,Não,Sim,2020-07
Empresa 12229,202207,Sim,Sim,2022-07
Empresa 1223,202302,Sim,Sim,2023-02
Empresa 12231,202209,Não,Sim,2022-09
Empresa 12234,202110,Sim,Sim,2021-10
Empresa 1224,202301,Sim,Sim,2023-01
Empresa 12244,202103,Não,Sim,2021-03
Empresa 12248,202205,Não,Sim,2022-05
Empresa 1225,202303,Sim,Sim,2023-03
Empresa 12251,202002,Sim,Sim,2020-02
Empresa 12256,202012,Não,Sim,2020-12
Empresa 1226,202303,Sim,Sim,2023-03
Empresa 1227,202201,Sim,Sim,2022-01
Empresa 12271,201908,Não,Sim,2019-08
Empresa 1228,202305,Sim,Sim,2023-05
Empresa 12280,202303,Não,Sim,2023-03
Empresa 12283,201908,Sim,Sim,2019-08
Empresa 1229,202306,Sim,Sim,2023-06
Empresa 12292,202206,Não,Sim,2022-06
Empresa 12296,202007,Não,Sim,2020-07
Empresa 123,202106,Sim,Sim,2021-06
Empresa 1230,202305,Sim,Sim,2023-05
Empresa 12300,202007,Não,Sim,2020-07
Empresa 1231,202307,Sim,Sim,2023-07
Empresa 12318,202105,Sim,Sim,2021-05
Empresa 1232,202302,Sim,Sim,2023-02
Empresa 1233,202304,Sim,Sim,2023-04
