Empresa,Cadastro,Já operou?,Teve possibilidade de operar?,cadastro_periodo
Empresa 33749,202102,Sim,Sim,2021-02
Empresa 3375,202107,Sim,Sim,2021-07
Empresa 33750,202102,Sim,Sim,2021-02
Empresa 33751,202102,Sim,Sim,2021-02
Empresa 33752,202102,Sim,Sim,2021-02
Empresa 33753,202102,Sim,Sim,2021-02
Empresa 33754,202102,Sim,Sim,2021-02
Empresa 33755,202102,Sim,Sim,2021-02
Empresa 33756,202102,Sim,Sim,2021-02
Empresa 33757,202102,Sim,Sim,2021-02
Empresa 33758,202102,Sim,Sim,2021-02
Empresa 33759,202102,Sim,Sim,2021-02
Empresa 3376,202003,Sim,Sim,2020-03
Empresa 33760,202102,Sim,Sim,2021-02
Empresa 33761,202102,Sim,Sim,2021-02
Empresa 33762,202102,Sim,Sim,2021-02
Empresa 33763,202102,Sim,Sim,2021-02
Empresa 33764,202102,Sim,Sim,2021-02
Empresa 33765,202102,Sim,Sim,2021-02
Empresa 33766,202102,Sim,Sim,2021-02
Empresa 33767,202102,Sim,Sim,2021-02
Empresa 33768,202102,Sim,Sim,2021-02
Empresa 33769,202102,Sim,Sim,2021-02
Empresa 3377,202206,Sim,Sim,2022-06
Empresa 33770,202102,Sim,Sim,2021-02
Empresa 33771,202102,Sim,Sim,2021-02
Empresa 33772,202102,Sim,Sim,2021-02
Empresa 33773,202102,Sim,Sim,2021-02
Empresa 33774,202102,Sim,Sim,2021-02
Empresa 33775,202103,Sim,Sim,2021-03
Empresa 33776,202103,Sim,Sim,2021-03
Empresa 33777,202103,Sim,Sim,2021-03
Empresa 33778,202103,Sim,Sim,2021-03
Empresa 33779,202103,Sim,Sim,2021-03
Empresa 3378,202212,Sim,Sim,2022-12
Empresa 33780,202103,Sim,Sim,2021-03
Empresa 33781,202103,Sim,Sim,2021-03
Empresa 33782,202103,Sim,Sim,2021-03
Empresa 33783,202103,Sim,Sim,2021-03
Empresa 33784,202103,Não,Sim,2021-03
Empresa 33785,202103,Sim,Sim,2021-03
Empresa 33786,202103,Sim,Sim,2021-03
Empresa 33787,202103,Sim,Sim,2021-03
Empresa 33788,202103,Sim,Sim,2021-03
Empresa 33789,202103,Sim,Sim,2021-03
Empresa 3379,202003,Sim,Sim,2020-03
Empresa 33790,202103,Sim,Sim,2021-03
Empresa 33791,202103,Sim,Sim,2021-03
Empresa 33792,202103,Sim,Sim,2021-03
Empresa 33793,202103,Sim,Sim,2021-03
Empresa 33794,202103,Sim,Sim,2021-03
Empresa 33795,202103,Sim,Sim,2021-03
Empresa 33796,202103,Sim,Sim,2021-03
Empresa 33797,202103,Sim,Sim,2021-03
Empresa 33798,202103,Sim,Sim,2021-03
Empresa 33799,202103,Sim,Sim,2021-03
Empresa 338,202310,Não,Não,2023-10
Empresa 3380,201907,Sim,Sim,2019-07
Empresa 33800,202103,Sim,Sim,2021-03
Empresa 33801,202103,Sim,Sim,2021-03
Empresa 33802,202103,Sim,Sim,2021-03
Empresa 33803,202103,Sim,Sim,2021-03
Empresa 33804,202103,Sim,Sim,2021-03
Empresa 33805,202103,Não,Sim,2021-03
Empresa 33806,202103,Não,Sim,2021-03
Empresa 33807,202103,Sim,Sim,2021-03
Empresa 33808,202103,Sim,Sim,2021-03
Empresa 33809,202103,Sim,Sim,2021-03
Empresa 3381,201908,Sim,Sim,2019-08
Empresa 33810,202103,Sim,Sim,2021-03
Empresa 33811,202103,Sim,Sim,2021-03
Empresa 33812,202103,Sim,Sim,2021-03
Empresa 33813,202103,Sim,Sim,2021-03
Empresa 33814,202103,Sim,Sim,2021-03
Empresa 33815,202103,Sim,Sim,2021-03
Empresa 33816,202103,Sim,Sim,2021-03
Empresa 33817,202103,Não,Sim,2021-03
Empresa 33818,202103,Sim,Sim,2021-03
Empresa 33819,202103,Não,Sim,2021-03
Empresa 3382,201907,Sim,Sim,2019-07
Empresa 33820,202103,Sim,Sim,2021-03
Empresa 33821,202103,Sim,Sim,2021-03
Empresa 33822,202103,Sim,Sim,2021-03
Empresa 33823,202103,Sim,Sim,2021-03
Empresa 33824,202103,Sim,Sim,2021-03
Empresa 33825,202103,Sim,Sim,2021-03
Empresa 33826,202103,Sim,Sim,2021-03
Empresa 33827,202103,Sim,Sim,2021-03
Empresa 33828,202103,Sim,Sim,2021-03
Empresa 33829,202103,Sim,Sim,2021-03
