MesAno,Empresa,Valor,Segmento,mes
202302,Empresa 7353,313117.4682,Não Tiny,2023-02
202302,Empresa 7354,32231.207599999998,Não Tiny,2023-02
202302,Empresa 1461,95014.26400000001,Não Tiny,2023-02
202302,Empresa 7355,101770.61,Não Tiny,2023-02
202302,Empresa 7356,421784.0118,Não Tiny,2023-02
202302,Empresa 7357,342170.468,Tiny,2023-02
202302,Empresa 7358,2075398.476,Não Tiny,2023-02
202302,Empresa 7338,1295129.78,Não Tiny,2023-02
202302,Empresa 7359,2644.5638,Não Tiny,2023-02
202302,Empresa 7360,85990.02,Não Tiny,2023-02
202302,Empresa 7361,62300.0,Não Tiny,2023-02
202302,Empresa 7362,383959.35,Não Tiny,2023-02
202302,Empresa 7363,1015175.3138,Não Tiny,2023-02
202302,Empresa 3074,360183.0,Não Tiny,2023-02
202302,Empresa 7364,114087.3556,Não Tiny,2023-02
202302,Empresa 7365,463692.9192,Não Tiny,2023-02
202302,Empresa 7366,206100.237,Tiny,2023-02
