MesAno,Empresa,Valor,Segmento,mes
202311,Empresa 1994,549895.4178,Não Tiny,2023-11
202311,Empresa 7223,922635.3744,Não Tiny,2023-11
202311,Empresa 7224,6790.3974,Não Tiny,2023-11
202311,Empresa 7251,135864.196,Não Tiny,2023-11
202311,Empresa 7256,17829.8506,Tiny,2023-11
202311,Empresa 2110,10825472.760599999,Não Tiny,2023-11
202311,Empresa 7226,2789.1176,Não Tiny,2023-11
202311,Empresa 2041,68193.936,Não Tiny,2023-11
202311,Empresa 2047,17462975.1382,Não Tiny,2023-11
202311,Empresa 682,176804.8012,Não Tiny,2023-11
202311,Empresa 7232,102590.2644,Não Tiny,2023-11
202311,Empresa 7233,25972964.5714,Não Tiny,2023-11
202311,Empresa 7237,1183830.83,Não Tiny,2023-11
202311,Empresa 4120,7190920.3264,Tiny,2023-11
202311,Empresa 1499,19392151.188800003,Não Tiny,2023-11
202311,Empresa 7216,19666748.8874,Não Tiny,2023-11
202311,Empresa 7238,751099.5334000001,Tiny,2023-11
202311,Empresa 1439,3554628.1558000003,Tiny,2023-11
202311,Empresa 7217,2441055.2964,Tiny,2023-11
202311,Empresa 7218,1223544.9440000001,Não Tiny,2023-11
202311,Empresa 7257,9054592.3236,Não Tiny,2023-11
202311,Empresa 7252,10224.32,Não Tiny,2023-11
202301,Empresa 7258,2730.9116,Não Tiny,2023-01
202301,Empresa 7259,243429.24,Tiny,2023-01
202301,Empresa 7260,3058.218,Tiny,2023-01
202301,Empresa 7261,136348.0,Não Tiny,2023-01
202301,Empresa 3094,218622.4302,Não Tiny,2023-01
202301,Empresa 7262,63931.37,Não Tiny,2023-01
202301,Empresa 7263,1928385.2678,Não Tiny,2023-01
202301,Empresa 6743,25983.7814,Não Tiny,2023-01
202301,Empresa 7264,35921.2544,Tiny,2023-01
202301,Empresa 7265,180388.76,Não Tiny,2023-01
202301,Empresa 7266,18048.398999999998,Não Tiny,2023-01
202301,Empresa 7267,410384.5714,Tiny,2023-01
202301,Empresa 7268,314783.38800000004,Não Tiny,2023-01
202302,Empresa 7258,27234.0,Não Tiny,2023-02
202302,Empresa 7259,243429.24,Tiny,2023-02
202302,Empresa 7260,18670.6514,Não Tiny,2023-02
202302,Empresa 7269,49377.200000000004,Não Tiny,2023-02
202302,Empresa 7261,299357.196,Não Tiny,2023-02
202302,Empresa 7270,1575656.0,Não Tiny,2023-02
202302,Empresa 3094,5461071.2746,Não Tiny,2023-02
202302,Empresa 7262,31965.685,Não Tiny,2023-02
202302,Empresa 7271,150365.322,Não Tiny,2023-02
