bc,Empresa,Conversão (%),Cadastrado? Quando?,mes,cadastro_periodo,status_cadastro_no_mes,cadastrado_no_mes,cadastro_futuro
2023-08,Empresa 6,65.27,202208,2023-08,2022-08,já cadastrado,True,False
2023-08,Empresa 15513,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 6720,100.0,202007,2023-08,2020-07,já cadastrado,True,False
2023-08,Empresa 22974,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 16756,0.0,202205,2023-08,2022-05,já cadastrado,True,False
2023-08,Empresa 11665,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 12650,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 10379,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 14397,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 10718,0.0,Não,2023-08,,sem cadastro,False,False
