bc,Empresa,Conversão (%),Cadastrado? Quando?,mes,cadastro_periodo,status_cadastro_no_mes,cadastrado_no_mes,cadastro_futuro
2023-08,Empresa 2699,100.0,202307,2023-08,2023-07,já cadastrado,True,False
2023-08,Empresa 7850,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 5873,100.0,202107,2023-08,2021-07,já cadastrado,True,False
2023-08,Empresa 12945,0.0,202008,2023-08,2020-08,já cadastrado,True,False
2023-08,Empresa 14791,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25133,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 12836,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 4573,100.0,202110,2023-08,2021-10,já cadastrado,True,False
2023-08,Empresa 22311,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 23022,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 5740,100.0,202210,2023-08,2022-10,já cadastrado,True,False
2023-08,Empresa 14754,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 7571,19.36,202007,2023-08,2020-07,já cadastrado,True,False
2023-08,Empresa 2226,0.0,202105,2023-08,2021-05,já cadastrado,True,False
2023-08,Empresa 25134,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 13842,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 19052,0.0,202103,2023-08,2021-03,já cadastrado,True,False
2023-08,Empresa 15794,0.0,202002,2023-08,2020-02,já cadastrado,True,False
2023-08,Empresa 14756,0.0,202012,2023-08,2020-12,já cadastrado,True,False
2023-08,Empresa 19178,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 15679,0.0,202007,2023-08,2020-07,já cadastrado,True,False
2023-08,Empresa 14931,0.0,202309,2023-08,2023-09,cadastro futuro,False,True
2023-08,Empresa 7059,100.0,202305,2023-08,2023-05,já cadastrado,True,False
2023-08,Empresa 20150,0.0,202305,2023-08,2023-05,já cadastrado,True,False
2023-08,Empresa 16126,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 9795,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 24741,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 10498,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 8548,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 13315,0.0,202209,2023-08,2022-09,já cadastrado,True,False
2023-08,Empresa 11667,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 15856,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 18394,0.0,Não,2023-08,,sem cadastro,False,False
