Segmento,volume,empresas,registros,share_volume,volume_medio_por_empresa
Não Tiny,33059734430.80888,6866,28146,0.6422518452490991,4814991.906613586
Tiny,18414986389.941082,6130,19197,0.357748154750901,3004076.0831877785
