cadastro_periodo,cadastrados,pct_ja_operaram,pct_tiveram_possibilidade
2018-04,1,1.0,1.0
2018-06,1,1.0,1.0
2018-07,2,1.0,1.0
2018-10,1,1.0,1.0
2018-11,1,1.0,1.0
2019-01,7,1.0,1.0
2019-02,6,1.0,1.0
2019-04,1,0.0,0.0
2019-05,48,0.3333333333333333,0.5208333333333334
2019-06,8,0.875,0.875
2019-07,104,0.9134615384615384,0.9519230769230769
2019-08,69,0.927536231884058,0.9710144927536232
2019-09,69,0.855072463768116,0.927536231884058
2019-10,131,0.8625954198473282,0.8778625954198473
2019-11,70,0.9,0.9571428571428572
2019-12,225,0.7866666666666666,0.9244444444444444
2020-01,139,0.8129496402877698,0.9064748201438849
2020-02,339,0.831858407079646,0.8731563421828908
2020-03,223,0.7085201793721974,0.7443946188340808
2020-04,228,0.7017543859649122,0.881578947368421
2020-05,187,0.7165775401069518,0.8021390374331551
2020-06,170,0.4764705882352941,0.7176470588235294
2020-07,545,0.5834862385321101,0.8917431192660551
2020-08,500,0.43,0.604
2020-09,458,0.7379912663755459,0.8733624454148472
2020-10,305,0.7901639344262295,0.8885245901639345
2020-11,486,0.7139917695473251,0.8436213991769548
2020-12,1038,0.6329479768786127,0.8140655105973025
2021-01,604,0.7003311258278145,0.8427152317880795
2021-02,432,0.6898148148148148,0.8379629629629629
2021-03,611,0.6072013093289689,0.8003273322422259
2021-04,265,0.6641509433962264,0.8415094339622642
2021-05,420,0.6714285714285714,0.7761904761904762
2021-06,360,0.7305555555555555,0.8388888888888889
2021-07,350,0.6657142857142857,0.7942857142857143
2021-08,380,0.6447368421052632,0.7473684210526316
2021-09,430,0.7348837209302326,0.8
2021-10,293,0.7918088737201365,0.856655290102389
2021-11,380,0.7605263157894737,0.8447368421052631
2021-12,376,0.6595744680851063,0.7898936170212766
2022-01,312,0.5769230769230769,0.657051282051282
2022-02,218,0.6880733944954128,0.7660550458715596
2022-03,387,0.7209302325581395,0.8113695090439277
2022-04,375,0.544,0.664
2022-05,686,0.7536443148688047,0.8440233236151603
2022-06,358,0.5949720670391061,0.7206703910614525
2022-07,330,0.6484848484848484,0.793939393939394
2022-08,376,0.6037234042553191,0.7446808510638298
2022-09,247,0.8299595141700404,1.0
2022-10,265,0.6943396226415094,0.8150943396226416
2022-11,379,0.6174142480211082,0.7889182058047494
2022-12,379,0.7730870712401056,1.0
2023-01,377,0.6259946949602122,0.7798408488063661
2023-02,247,0.6234817813765182,0.728744939271255
2023-03,343,0.5714285714285714,0.7201166180758017
2023-04,271,0.5313653136531366,0.7084870848708487
2023-05,301,0.5415282392026578,0.7242524916943521
2023-06,360,0.5444444444444444,0.6833333333333333
2023-07,459,0.5555555555555556,0.7124183006535948
2023-08,455,0.3934065934065934,0.5406593406593406
2023-09,283,0.3674911660777385,0.5724381625441696
2023-10,390,0.26153846153846155,0.4461538461538462
2023-11,89,0.11235955056179775,0.34831460674157305
