mes,volume,fornecedores_operando,ticket_medio_por_fornecedor,crescimento_volume_mom
2023-01,3494956129.38254,3695,945860.9281143546,
2023-02,3952548982.50254,3848,1027169.6939975416,0.130929498448624
2023-03,4818923942.4526205,4092,1177645.1472269357,0.21919398438461313
2023-04,4154791642.7842603,3911,1062334.8613613553,-0.13781755171888976
2023-05,4862786740.00566,4136,1175722.132496533,0.17040447706950457
2023-06,6181817566.89108,4098,1508496.2339900145,0.2712499843009535
2023-07,4333508776.26196,4265,1016063.0190532146,-0.29899115763758444
2023-08,5221104035.50292,4417,1182047.5516194068,0.2048213826410179
2023-09,5566362207.1376,4273,1302682.4730020126,0.06612742617020517
2023-10,5024391410.17932,4284,1172827.1265591318,-0.09736534864068402
2023-11,3863529387.64946,3977,971468.2895774352,-0.23104530036771742
